Categeory,Vehicle category,Transport mode,Size class,Segment,Fuel Type,Average VKT(km/year/vehicle),Average VKT Source,VKT note,Urban VKT Ratio,Highway VKT Ratio,Rural VKT Ratio,VKT Ratio note
Heavy duty trucks,Heavy goods vehicles,Freight,RigidTruck >20-26t,RigidTruck >20-26t,Diesel Oil,19830.8641,"INFRAS, 2018",,0.1,0.8,0.1,Uses highway to ship goods from one city to another
Heavy duty trucks,Heavy goods vehicles,Freight,TT/AT >20-28t,TT/AT >20-28t,Diesel Oil,63205.00002,"INFRAS, 2018",,0.1,0.8,0.1,Uses highway to ship goods from one city to another
Heavy duty trucks,Heavy goods vehicles,Freight,TT/AT >28-34t,TT/AT >28-34t,Diesel Oil,63205.00002,"INFRAS, 2018",,0.1,0.8,0.1,Uses highway to ship goods from one city to another
Heavy duty trucks,Heavy goods vehicles,Freight,TT/AT >34-40t,TT/AT >34-40t,Diesel Oil,64619.68727,"INFRAS, 2018",,0.1,0.8,0.1,Uses highway to ship goods from one city to another
Heavy duty trucks,Heavy goods vehicles,Freight,,LCV petrol N1-III,Motor Gasoline,20792,"INFRAS, 2018",,0.1,0.8,0.1,Uses highway to ship goods from one city to another
Heavy duty trucks,Heavy goods vehicles,Freight,,LCV diesel M+N1-III,Diesel Oil,29449,,Derived from LCV diesel N1-III,0.1,0.8,0.1,Uses highway to ship goods from one city to another
Heavy duty trucks,Heavy goods vehicles,Freight,,LCV diesel N1-III,Diesel Oil,29449,"INFRAS, 2018",,0.1,0.8,0.1,Uses highway to ship goods from one city to another
Motorcycles,Motorcycles,Passenger,4 - 4-stroke < 150 cc,MC 4S <=150cc,Motor gasoline,17807,,Derived from original <250 cc fleet to <150 and 150-250,0.9,0.1,0,More popular in urban areas mostly because they are less powerful to operate on rough rural terrains
Motorcycles,Motorcycles,Passenger,4 - 4-stroke 151 - 250 cc,MC 4S 151-250cc,Motor gasoline,17807,,Derived from original <250 cc fleet to <150 and 150-251,0.3333333333,0.3333333333,0.3333333333,"Assumed equal use for highway, urban and rural because motorcycles are equally popular everywhere"
Motorcycles,Motorcycles,Passenger,5 -4-stroke 250 - 750 cc,MC 4S 251-750cc,Motor gasoline,17807,"INFRAS, 2018",,0.3333333333,0.3333333333,0.3333333333,"Assumed equal use for highway, urban and rural because motorcycles are equally popular everywhere"
Motorcycles,Motorcycles,Passenger,6 -4-stroke > 750 cc,MC 4S >750cc,Motor gasoline,17807,"INFRAS, 2018",,0.3333333333,0.3333333333,0.3333333333,"Assumed equal use for highway, urban and rural because motorcycles are equally popular everywhere"
Mopeds,Mopeds,Passenger,,MC 4S <=150cc,Motor gasoline,17807,,assumed same as for motorcycle MC 4S <=150cc,0.9,0.1,0,More popular in urban areas mostly because they are less powerful to operate on rough rural terrains
